"Ticker","Nome","Negócios","Última (R$)","Variação"
"HAPV3","Hapvida","92.332.500","4,44","+1,60%"
"B3SA3","B3","44.718.200","12,55","+3,29%"
"COGN3","Cogna","36.138.100","1,39","+2,96%"
"AZUL4","Azul","34.287.800","4,92","+1,23%"
"BBDC4","Banco Bradesco","33.419.000","15,87","+0,76%"
"PETR4","Petrobras","28.778.000","38,54","+0,03%"
"CPLE6","Copel","27.351.700","10,89","+2,45%"
"ITSA4","Itaúsa","25.708.300","11,13","+0,82%"
"ALPA4","Alpargatas","23.236.500","7,67","+0,92%"
"ABEV3","Ambev","22.838.400","12,99","+1,48%"
"ITUB4","Itaú Unibanco","20.259.500","37,24","+0,70%"
"ASAI3","Assaí","19.592.800","9,98","-0,20%"
"VALE3","Vale","19.382.900","56,99","+0,78%"
"MGLU3","Magazine Luiza","18.105.900","12,04","+3,08%"
"PETZ3","Petz","16.917.100","4,97","+2,47%"
"RAIL3","Rumo","16.808.800","21,67","+1,12%"
"BBAS3","Banco do Brasil","15.489.500","28,99","+1,08%"
"LREN3","Lojas Renner","15.378.200","17,48","+1,45%"
"CMIG4","CEMIG","14.825.200","11,95","+2,84%"
"ENEV3","Eneva","14.623.600","13,85","+2,59%"
"POMO4","Marcopolo","13.935.600","7,89","+0,64%"
"PCAR3","Grupo Pão de Açúcar","13.843.900","3,23","+9,12%"
"CVCB3","CVC","13.262.700","1,94","+1,57%"
"EMBR3","Embraer","13.160.700","49,11","+5,79%"
"PRIO3","PetroRio","12.726.500","43,72","-1,31%"
"GGBR4","Gerdau","12.433.000","18,24","+3,05%"
"USIM5","Usiminas","11.953.500","6,08","+2,01%"
"CMIN3","CSN Mineração","11.704.500","5,74","+2,68%"
"CRFB3","Carrefour Brasil","11.158.100","9,49","+2,82%"
"EQTL3","Equatorial Energia","11.115.400","35,68","+4,27%"
"RRRP3","3R Petroleum","11.062.400","24,65","-3,22%"
"RAIZ4","Raízen","10.834.200","3,14","+0,64%"
"AMER3","Americanas","10.104.600","6,51","+1,09%"
"ELET3","Eletrobras","9.833.900","42,69","+2,37%"
"AZEV4","Azevedo & Travassos","9.679.400","1,33","-6,99%"
"ANIM3","Ânima Educação","9.440.800","3,41","+4,60%"
"MRVE3","MRV","9.403.500","7,35","+1,66%"
"IFCM3","Infracommerce","8.996.200","0,15","+0,00%"
"PETR3","Petrobras","8.891.900","42,15","-0,38%"
"BRFS3","BRF","8.533.600","25,50","+4,21%"
"YDUQ3","YDUQS","8.518.400","10,10","+2,54%"
"VBBR3","Vibra Energia","8.278.400","26,09","+1,44%"
"CSNA3","Siderúrgica Nacional","8.144.300","11,40","+0,62%"
"AURE3","Auren Energia","8.005.800","11,43","+0,26%"
"JBSS3","JBS","7.828.500","34,37","+1,54%"
"CSAN3","Cosan","7.632.200","13,40","+2,13%"
"RADL3","RaiaDrogasil","7.395.600","27,30","+0,81%"
"RDOR3","Rede D'Or","7.271.100","33,40","+3,12%"
"MRFG3","Marfrig","7.049.600","14,69","+7,46%"
"VAMO3","Grupo Vamos","6.954.700","7,62","+0,66%"
"CXSE3","Caixa Seguridade","6.868.500","15,94","-2,69%"
"RENT3","Localiza","6.827.200","41,93","+3,02%"
"GOAU4","Metalúrgica Gerdau","6.539.100","10,54","+3,64%"
"CPLE3","Copel","6.225.400","9,76","+1,99%"
"CYRE3","Cyrela","6.096.800","21,59","+1,84%"
"BEEF3","Minerva","5.837.000","7,41","+3,78%"
"BHIA3","Casas Bahia","5.670.100","6,73","+8,20%"
"CCRO3","Grupo CCR","5.536.100","13,58","+1,42%"
"ONCO3","Oncoclínicas","5.421.800","5,81","-3,17%"
"NTCO3","Natura","5.242.900","13,51","+1,43%"
"BBDC3","Banco Bradesco","5.206.600","14,29","+0,56%"
"AESB3","AES Brasil","5.139.900","11,54","+0,61%"
"UGPA3","Ultrapar","5.067.700","22,90","+0,93%"
"BBSE3","BB Seguridade","5.038.900","37,42","+1,46%"
"ALOS3","Allos","4.947.300","23,31","+2,24%"
"STBP3","Santos Brasil","4.903.500","13,95","+3,87%"
"FLRY3","Fleury","4.824.700","16,71","+3,60%"
"TIMS3","TIM","4.812.400","18,32","+1,55%"
"LIGT3","Light","4.795.000","6,71","+6,51%"
"SUZB3","Suzano","4.687.500","55,38","+1,45%"
"WEGE3","WEG","4.682.800","53,39","+1,12%"
"HYPE3","Hypera","4.502.900","28,28","+0,82%"
